"";"x"
"nbClusters";"3"
"percent A";"0.46"
"percent B";"0.28"
"percent C";"0.26"
"Calinski.Harabatz";"64.7508705575319"
"Calinski.Harabatz2";"1.36259670213533"
"Calinski.Harabatz3";"91.5715593179264"
"Ray.Turi";"-0.0292562435800699"
"Davies.Bouldin";"-1.3573609912341"
"BIC";"154.693153355416"
"BIC2";"-64.7914417596245"
"AIC";"337.055066374582"
"AICc";"-5.70355431507278"
"AICc2";"332.595667541025"
"postProbaGlobal";"0.996718860949769"
"random";"-0.208891723564353"
"algorithmUsed";"kmeans, fast (C)"
"convergenceTime";"5"
