"";"x"
"nbClusters";"3"
"percent A";"0.42"
"percent B";"0.31"
"percent C";"0.27"
"Calinski.Harabatz";"66.6384383885393"
"Calinski.Harabatz2";"1.40231807853447"
"Calinski.Harabatz3";"94.2409833444362"
"Ray.Turi";"-0.0235427596430777"
"Davies.Bouldin";"-1.4047487616115"
"BIC";"190.041611896234"
"BIC2";"-29.4429832188067"
"AIC";"372.4035249154"
"AICc";"29.6449042257451"
"AICc2";"367.944126081843"
"postProbaGlobal";"0.99332190828457"
"random";"1.08293254434639"
"algorithmUsed";"kmeans, fast (C)"
"convergenceTime";"7"
